virus1,virus2
Nuarterivirus,Zealarterivirinae
Rhinacovirus,Rhinolophus ferrumequinum alphacoronavirus HuB-2013
Okavirus,Yellowhead disease virus
Minacovirus,Gammacoronavirus
Microhyla letovirus 1,Letovirinae
Monidovirineae,Heroarterivirinae
Serpentovirinae,Piscanivirinae
Variarterivirinae,Coronaviridae
Fathead minnow nidovirus 1,Tobaniviridae
Alphacoronavirus,Middle East respiratory syndrome coronavirus
Cremegaviridae,Olifoviridae
Alphamesonivirus 5,Ofalivirus
Duvinacovirus,Orthocoronavirinae
Coronaviridae,Abnidovirineae
Coronaviridae,Arnidovirineae
Herdecovirus,White-eye coronavirus HKU16
Bat SARS CoV Rm1,RacCS203
SHC014-CoV,Merbecovirus
Medioniviridae,니도바이러스목
Bat coronavirus CDPHE15,Minunacovirus
Bafinivirus,Serpentovirinae
Zetaarterivirus,Arteriviridae
Mesoniviridae,Kadilivirus
Munia coronavirus HKU13,Orthocoronavirinae
Colacovirus,Pipistrellus kuhlii coronavirus 3398
Rousettus bat coronavirus GCCDC1,Rousettus bat coronavirus HKU9
RaTG13,Bat SARS coronavirus Rp1
RaTG13,Betacoronavirus
Hexponivirinae,Alphamesonivirus 6
Alphamesonivirus 6,Namcalivirus
Gofosavirinae,니도바이러스목
Iotaarterivirus pejah,Deltaarterivirus
Tipravirus,Ronidovirineae
니도바이러스목,Remotovirinae
Orthocoronavirinae,RacCS203
Luchacovirus,Betacoronavirus
Karsalivirus,Alphamesonivirus 4
Decacovirus,Nyctacovirus
Betacoronavirus,Pipistrellus bat coronavirus HKU5
Lyctovirus,Tiruvirus
Okavirus,Arnidovirineae
Bat SARS CoV Rf1,Bat SARS coronavirus Rp1
Variarterivirinae,Zetaarterivirus
Infratovirus,Torovirinae
Bulbul coronavirus HKU11,FalCoV UAE-HKU27
Rhinolophus Bat coronavirus HKU2,Pedacovirus
Bat SARS-like coronavirus WIV1,Embecovirus
Enselivirus,Cavally virus
Pipistrellus kuhlii coronavirus 3398,Nyctalus velutinus alphacoronavirus SC-2013
Tornidovirineae,Sectovirus
Arteriviridae,Monidovirineae
Suncus murinus coronavirus X74,Myotacovirus
Deltaarterivirus,Etaarterivirus ugarco 1
Bafinivirus,니도바이러스목
Embecovirus,Merbecovirus
Soracovirus,Setracovirus
Duvinacovirus,Lucheng Rn rat coronavirus
Epsilonarterivirus,Hedartevirus
Zetaarterivirus ugarco 1,Arteriviridae
Alphamesonivirus 8,Kadilivirus
Cremegaviridae,Crocarterivirinae
Pregotovirus,Rebatovirus
Human coronavirus HKU1,Deltacoronavirus
China Rattus coronavirus HKU24,Nobecovirus
Abyssoviridae,Mesnidovirineae
Torovirinae,Gammacoronavirus
SARS-CoV-1,Merbecovirus
Alphamesonivirus 2,Alphamesonivirus 8
Karsalivirus,Nam Dinh virus
니도바이러스목,Epsilonarterivirus
Myotacovirus,Gammacoronavirus
Bostovirus,Piscanivirinae
Rhinacovirus,Decacovirus
Heroarterivirinae,Roniviridae
Okavirus 1,Okavirus
SARS-CoV-1,RmYN02
Myotacovirus,Nyctacovirus
Epsilonarterivirus zamalb,Epsilonarterivirus hemcep
Luchacovirus,Bat coronavirus HKU10
Kigiartevirus,Debiartevirus
Arteriviridae,Gofosavirinae
Arteriviridae,Gammaarterivirus lacdeh
Igacovirus,Alphacoronavirus
Civet SARS-CoV,SARS coronavirus B024
Nyctacovirus,Soracovirus
BtCoV/BM48-31/Rhi bla/Bulgaria/2008,SARS-CoV-1
Middle East respiratory syndrome coronavirus,Human coronavirus HKU1
China Rattus coronavirus HKU24,Rabbit Coronavirus HKU14
니도바이러스목,Okanivirinae
Ronidovirineae,Hexponivirinae
Coronaviridae,Buldecovirus
Nanghoshaviridae,Mesoniviridae
Ronidovirineae,Okavirus
Buldecovirus,Orthocoronavirinae
Etaarterivirus ugarco 1,Epsilonarterivirus
Nobecovirus,Coronaviridae
Munia coronavirus HKU13,Herdecovirus
Sunacovirus,Human Coronavirus NL63
Namcalivirus,Hanalivirus
Namcalivirus,Kadilivirus
Paguronivirus,Ceronivirinae
Alphamesonivirus 5,Nam Dinh virus
Abyssoviridae,Arteriviridae
Sorex araneus coronavirus T14,Orthocoronavirinae
Ampobartevirus,Gammaarterivirus
Brangacovirus,Deltacoronavirus
Rhinolophus Bat coronavirus HKU2,Minacovirus
Human coronavirus HKU1,Gammacoronavirus
Middle East respiratory syndrome coronavirus,Myodes coronavirus 2JL14
Eidolon bat coronavirus C704,Embecovirus
Mesnidovirineae,Roniviridae
Soracovirus,Nyctalus velutinus alphacoronavirus SC-2013
Mesoniviridae,Medioniviridae
Buldecovirus,Gammacoronavirus
Mesoniviridae,Karsalivirus
Bat coronavirus CDPHE15,Pedacovirus
Human coronavirus HKU1,Hibecovirus
Human coronavirus 229E,Soracovirus
Pipistrellus bat coronavirus HKU5,Middle East respiratory syndrome coronavirus
Sarbecovirus,Embecovirus
Betacoronavirus,Buldecovirus
Letovirinae,Arnidovirineae
Crocarterivirinae,Roniviridae
니도바이러스목,Ofalivirus
Zealarterivirinae,Kappaarterivirus wobum
Namcalivirus,Alphamesonivirus 7
Alphamesonivirus 6,Hexponivirinae
Orthocoronavirinae,Human coronavirus HKU1 (isolate N1)
Zetaarterivirus,Etaarterivirus ugarco 1
NL63-related bat coronavirus strain BtKYNL63-9b,Minacovirus
Thetaarterivirus,Peiartevirus
Crocarterivirinae,Gresnaviridae
Cremegaviridae,Equarterivirinae
SARS-CoV-1,Human coronavirus HKU1
Civet SARS-CoV,Bat SARS CoV Rf1
Human Coronavirus NL63,Decacovirus
Sunacovirus,Pedacovirus
Betaarterivirus,Nuarterivirus
Zetaarterivirus,Arnidovirineae
FalCoV UAE-HKU27,Andecovirus
Cegacovirus,Betacoronavirus
RacCS203,SARS-CoV-2
Kadilivirus,니도바이러스목
Iotaarterivirus kibreg 1,Pedartevirus
Pedacovirus,Miniopterus Bat coronavirus HKU8
Mesnidovirineae,Okanivirinae
Alphamesonivirus,Monidovirineae
Human coronavirus HKU1,Rc-o319
Mononiviridae,Coronaviridae
White bream virus,Piscanivirinae
Kappaarterivirus,Simarterivirinae
Miniopterus Bat coronavirus 1,Duvinacovirus
Sorex araneus coronavirus T14,Luchacovirus
Namcalivirus,Ofalivirus
Duvinacovirus,Bat coronavirus CDPHE15
Buldecovirus,Wigeon coronavirus HKU20
Nobecovirus,Rabbit Coronavirus HKU14
Coronaviridae,Human coronavirus HKU1
Arnidovirineae,Cyclophivirus
Remotovirinae,Lyctovirus
Betacoronavirus,Gammacoronavirus
Alphacoronavirus,Torovirinae
Crocarterivirinae,Mesoniviridae
Micartevirus,Gammaarterivirus
Miniopterus Bat coronavirus 1,Colacovirus
Okavirus,Tornidovirineae
Nyctacovirus,Minunacovirus
RaTG13,Rc-o319
Bat SARS-like coronavirus WIV1,Human coronavirus HKU1
Pedacovirus,Setracovirus
Alphamesonivirus 9,Alphamesonivirus 4
Alphamesonivirus 5,Hexponivirinae
Salnivirus,Tobaniviridae
Alphacoronavirus 1,Duvinacovirus
Ferret coronavirus,Colacovirus
SARS coronavirus B024,Civet SARS-CoV
Monidovirineae,Nanhypoviridae
Pipistrellus kuhlii coronavirus 3398,Decacovirus
Rc-o319,SHC014-CoV
Dak Nong virus,Alphamesonivirus 4
Betaarterivirus suid 1,Micartevirus
Decacovirus,Bat coronavirus CDPHE15
Hibecovirus,Gammacoronavirus
Namcalivirus,Alphamesonivirus 2
Luchacovirus,Rhinolophus ferrumequinum alphacoronavirus HuB-2013
Alphamesonivirus 8,Alphamesonivirus 5
Nangarvirus 1,Nanghoshaviridae
Wenilivirus,Ceronivirinae
RmYN02,RaTG13
Betacoronavirus,RmYN02
Tornidovirineae,Bafinivirus
Cremegaviridae,Ronidovirineae
Variarterivirinae,Eurpobartevirus
Minacovirus,Alphacoronavirus 1
SHC014-CoV,SARS-CoV-1
Kigiartevirus,Epsilonarterivirus
Micartevirus,Betaarterivirus suid 2
Avian coronavirus 9203,Gammacoronavirus
Hedgehog coronavirus 1,Human coronavirus HKU1
Micartevirus,Betaarterivirus chinrav 1
Arteriviridae,Okavirus
Debiartevirus,Deltaarterivirus
Nyctalus velutinus alphacoronavirus SC-2013,Pedacovirus
Soracovirus,Minacovirus
Nanhypoviridae,Ronidovirineae
Decacovirus,Luchacovirus
Soracovirus,Human coronavirus 229E
Duvinacovirus,Rousettus bat coronavirus HKU10
NL63-related bat coronavirus strain BtKYNL63-9b,Decacovirus
Lucheng Rn rat coronavirus,Nyctacovirus
Betacoronavirus,Human coronavirus HKU1 (isolate N1)
BtCoV/BM48-31/Rhi bla/Bulgaria/2008,Merbecovirus
Menolivirus,Namcalivirus
Tobaniviridae,Roniviridae
Orthocoronavirinae,Tegacovirus
니도바이러스목,Casualivirus
Etaarterivirus,Arnidovirineae
Tornidovirineae,Coronaviridae
Pedacovirus,Human Coronavirus NL63
Nanidovirineae,Mononiviridae
Variarterivirinae,Gammaarterivirus lacdeh
Orthocoronavirinae,Nyctalus velutinus alphacoronavirus SC-2013
Ferret coronavirus,Mink coronavirus 1
Namcalivirus,Hexponivirinae
Eurpobartevirus,Betaarterivirus suid 2
Orthocoronavirinae,Myotacovirus
Minacovirus,Decacovirus
White-eye coronavirus HKU16,Orthocoronavirinae
Hanalivirus,Alphamesonivirus 8
Variarterivirinae,Kappaarterivirus
Debiartevirus,Etaarterivirus
Sajorinivirus,Nanidovirineae
Rousettus bat coronavirus HKU10,Myotacovirus
Soracovirus,Human Coronavirus NL63
Suncus murinus coronavirus X74,Luchacovirus
Deltaarterivirus,Peiartevirus
Miniopterus Bat coronavirus HKU8,Rhinacovirus
Decacovirus,Scotophilus Bat coronavirus 512
Simarterivirinae,Deltaarterivirus pejah
Mesnidovirineae,Casualivirus
Alphamesonivirus,Alphamesonivirus 6
Rebatovirus,Serpentovirinae
Namcalivirus,Casualivirus
Porcine torovirus,Tobaniviridae
Roniviridae,Tornidovirineae
Nyctacovirus,Porcine epidemic diarrhea virus
Bat SARS-like coronavirus WIV1,SHC014-CoV
Pregotovirus,Lyctovirus
Alphamesonivirus 3,Alphamesonivirus 3
Equarterivirinae,Tornidovirineae
Pedacovirus,Gammacoronavirus
Enselivirus,Alphamesonivirus 10
Moordecovirus,Bulbul coronavirus HKU11
Gammacoronavirus,Soracovirus
Duck coronavirus 2714,Avian coronavirus 9203
Porcine epidemic diarrhea virus,Sunacovirus
Tornidovirineae,Remotovirinae
Abnidovirineae,Medioniviridae
Chimshavirus,Nanghoshaviridae
Minacovirus,Nyctacovirus
Hibecovirus,Orthocoronavirinae
Alphamesonivirus 10,Cavally virus
Rousettus bat coronavirus HKU10,Minunacovirus
Abnidovirineae,Heroarterivirinae
Orthocoronavirinae,니도바이러스목
Brangacovirus,Cegacovirus
Nuarterivirus,Crocarterivirinae
Epsilonarterivirus,Deltaarterivirus
Civet SARS-CoV,SHC014-CoV
Alphamesonivirus 6,Alphamesonivirus 1
Variarterivirinae,Betaarterivirus timiclar
Euroniviridae,Mesnidovirineae
Tobaniviridae,Tilitovirus
RaTG13,RmYN02
Lambdaarterivirus,Arnidovirineae
Zetaarterivirus,Pedartevirus
Betaarterivirus,Betaarterivirus timiclar
Porcine coronavirus HKU15,Andecovirus
Alphamesonivirus 2,Dak Nong virus
Betaarterivirus sheoin,Mibartevirus
Rousettus bat coronavirus HKU10,Rhinacovirus
Luchacovirus,Nyctalus velutinus alphacoronavirus SC-2013
Hanalivirus,니도바이러스목
Alphamesonivirus,Nanidovirineae
Tobaniviridae,White bream virus
Gresnaviridae,Ronidovirineae
Betacoronavirus,BtKY72/Rhinolophus sp./Kenya/2007
Nyctacovirus,Canine coronavirus HuPn-2018
Nanidovirineae,Gresnaviridae
Crocarterivirinae,Tornidovirineae
Hexponivirinae,Alphamesonivirus 3
Infratovirus,Sanematovirus
Simarterivirinae,Iotaarterivirus debrazmo
Arnidovirineae,Thetaarterivirus
Epsilonarterivirus,Zetaarterivirus
Betacoronavirus,Luchacovirus
Bafinivirus,Equine torovirus
Tiruvirus,Snaturtovirus
Equine torovirus,Bafinivirus
Mesoniviridae,Arteriviridae
Rc-o319,SARS-CoV-2
Cavally virus,Alphamesonivirus 5
Kigiartevirus,Deltaarterivirus
Wigeon coronavirus HKU20,Andecovirus
Fathead minnow nidovirus 1,Pimfabavirus
Fathead minnow nidovirus 1,Bafinivirus
Night heron coronavirus HKU19,Herdecovirus
White-eye coronavirus HKU16,Buldecovirus
Beturrivirus,Turrinivirus
Hedgehog coronavirus 1,Merbecovirus
Human coronavirus 229E,Duvinacovirus
